song_idx,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,5DVFVF9v4XZqzP5LdaZP0Q,Official HIGE DANdism,One-Man Tour 2021-2022 -Editorial-@Saitama Super Arena (LIVE),Hello - LIVE,26,285000,False,0.495,0.881,1,-6.141,0,0.036,0.0134,0.0,0.32,0.541,127.012,4,anime
1,4rMqvswE1TVZ8ta1hE6QJU,Hank Williams,"The Garden Spot Programs, 1950",I Can't Get You off My Mind,16,161565,False,0.48,0.266,0,-7.392,1,0.0389,0.936,5e-05,0.597,0.793,146.792,4,honky-tonk
2,2iA4neLS2rg1dlciGgmt4X,Megadeth,Release Your ANGER,Symphony Of Destruction,0,246733,False,0.61,0.889,4,-5.452,0,0.0585,0.000794,0.0865,0.0657,0.506,139.903,4,hard-rock
3,4QtkuEXUmPI29GYjm3vILr,Kvatro,Ты моя Москва,Ты моя Москва,6,197143,False,0.745,0.64,1,-9.224,1,0.0508,0.233,0.0,0.217,0.776,89.988,4,romance
4,35OKb5Kp34H1DHPU5JtIbE,DeadSquad,Horror Vision (original version 2009),Dominasi Belati,30,225146,True,0.319,0.949,1,-7.334,1,0.16,0.0329,7.96e-05,0.508,0.265,140.189,4,death-metal
5,1LMThPKp9e3ite3pv5Gq6u,Jacek Stachursky,Moje Zakazane Przeboje,Żyłem Jak Chciałem,32,267000,False,0.455,0.506,2,-5.524,1,0.0293,0.256,0.0158,0.313,0.338,159.997,4,disco
6,2AwbeqZqcTrZguAw6H2yrY,De Doelleazen;Marcel Smit,Skijt Oan De Rest,Myn Alde Puch,36,193371,False,0.567,0.948,4,-3.816,0,0.0472,0.0586,9.43e-06,0.338,0.663,175.037,4,hardcore
7,1v0dx7eDwANUppPBLweInQ,Topic;Robin Schulz;Nico Santos;Paul van Dyk,Night Drive Autumn/Winter 2022/23,In Your Arms (For An Angel),0,150476,False,0.694,0.828,11,-4.653,0,0.0336,0.0399,0.0,0.0796,0.407,126.002,4,edm
8,0wAObZ46FfLqLBpTDjHBzx,Off With Their Heads,Home,Altar Boy,23,147400,False,0.353,0.997,9,-2.947,1,0.0769,0.00259,0.0,0.26,0.526,155.615,4,power-pop
9,1P5YSdlW0yDkMTxiLGDldP,Chuck Berry,Christmas Faves 2022,Run Rudolph Run,0,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,rock-n-roll
10,46nvQpUDsxpS08UTFOeKTA,MEDUZA;Hozier,Tell It To My Heart,Tell It To My Heart,76,165524,False,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854,4,edm
11,6pxElwU80zhjbCC77Vn8EI,Tom Misch,Geography,Movie,66,357357,False,0.785,0.379,7,-11.446,1,0.0732,0.391,0.0161,0.267,0.182,122.043,3,soul
12,0ZIHIe6RYMqKwMTtz2xKEb,Lucas Reis & Thácio,Pra Te Amar de Vez,Faca Que Não Corta / Mineiro de Monte Belo / Pagode do Ala / Pagode em Brasilia (Ao Vivo),44,292573,False,0.742,0.831,8,-4.978,1,0.0679,0.14,1.69e-05,0.696,0.728,119.993,4,sertanejo
13,2KKsgm1YQKWC1fpPqz3dU4,Norah Jones,World's Best Christmas Playlist,Christmas Don't Be Late,0,160293,False,0.497,0.374,10,-6.941,1,0.028,0.751,5.82e-05,0.118,0.235,66.785,4,jazz
14,5SpCRTW1Jow9l2xLtM4Cd2,Rotting Christ,Lucifer over Athens,Societas Satanas,19,226000,False,0.239,0.908,9,-8.437,1,0.0546,0.000794,0.248,0.926,0.643,83.734,1,black-metal
15,2FPFbWKK1SI2K8hwbs43qf,Natalia Jiménez,Natalia Jiménez,Si No Está Usted,32,234426,False,0.637,0.57,4,-5.218,1,0.0255,0.184,1.22e-06,0.219,0.649,102.922,4,spanish
16,0aEIw4siCqZ8hlDrvtlRep,AC Slater;Chris Lorenzo,Fly With Us,Fly With Us,52,248437,False,0.865,0.913,1,-3.094,1,0.0724,0.031,0.184,0.0901,0.699,128.012,4,groove
17,1ISyxG7inoBAIHD5QpHZql,Hakan Akkus;Drop-G & Regard,Ibiza Kickoff,I Can't Be - Drop-G & Regard Remix,43,366031,False,0.798,0.676,10,-8.163,0,0.0736,0.191,0.449,0.0808,0.388,119.991,4,deep-house
18,0eKdJWDjubf1rbyCm0D59b,OneRepublic,Slow Christmas Songs 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,rock
19,4SrjgqhVFK3dIbQS4Jll20,The Temptations,Soulful Christmas,Rudolph The Red-Nosed Reindeer - Stereo,0,189000,False,0.455,0.462,0,-11.23,1,0.0293,0.0577,0.0,0.285,0.689,94.271,4,funk
20,5ABDsQEkVZ1ECGPGQl6Yfr,NERO,Welcome Reality,Innocence,45,308173,False,0.373,0.734,7,-5.707,0,0.0658,0.00128,0.356,0.0868,0.0678,137.233,4,drum-and-bass
21,73BIHNAuJtxFTbuRK2y2sG,Ramon Marquez,Lo Mejor Para Bailar Con Ramón Márquez,Clases De Cha Cha Chá,32,185817,False,0.78,0.789,8,-7.956,1,0.049,0.842,0.0,0.0612,0.887,128.795,4,rock-n-roll
22,6MKOd8KDFzwpu8Vz6ccZU5,ORANGE RANGE,*〜アスタリスク〜,*〜アスタリスク〜,61,255906,False,0.57,0.931,5,-3.983,1,0.0408,0.026,0.000211,0.312,0.677,127.988,4,j-pop
23,5RySo0AAUR0reTHSCvb6HC,Ben Howard,I Forget Where We Were,Small Things,54,343786,False,0.393,0.595,7,-9.825,0,0.0405,0.79,0.297,0.115,0.165,135.797,4,british
24,4xorfKwLcAd5ePsmd47bc7,Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,A Family Christmas,Have Yourself a Merry Little Christmas,0,243160,False,0.151,0.147,1,-13.38,1,0.0382,0.917,6.48e-06,0.139,0.253,65.595,3,opera
25,6lanRgr6wXibZr8KgzXxBl,Christina Perri,A Thousand Years,A Thousand Years,81,285120,False,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,3,pop
26,42lC6bnDdAjRqZtsFe1tmg,Killswitch Engage,As Daylight Dies (Special Edition),The Arms of Sorrow,53,224120,False,0.499,0.963,5,-2.729,0,0.0578,6.53e-05,0.000507,0.608,0.16,123.981,4,metalcore
27,2APCEcZ3XkPzYQ8WhaRtri,Ella Fitzgerald,Holiday Favorites 2022,Rudolph The Red-Nosed Reindeer,0,171773,False,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,jazz
28,788uJvGtd7xPaFhVHeN0bb,Cavalera Conspiracy,Groove Metal Roots & Branches,Ultra-Violent,0,226533,False,0.336,0.976,10,-4.086,0,0.216,8.9e-05,0.00218,0.122,0.222,110.682,4,death-metal
29,3Lf8gZ5TUnd6Tjg3wnEUEf,Torsten Kanzler,Bumm Bass Tick,Oure Love,18,419076,False,0.79,0.631,6,-13.783,1,0.0735,0.00118,0.954,0.1,0.19,130.0,4,minimal-techno
30,5iatMK7b76FuQtjBbUuQV1,Jacky Cheung,張學友 愛得比你深,祇想一生跟你走,47,313266,False,0.697,0.476,7,-10.539,1,0.035,0.81,0.0,0.283,0.235,129.998,4,cantopop
31,0fr7Nl49mFbf6nXXca6YwO,We Came As Romans,Cold Like War,Learning to Survive,62,269966,False,0.588,0.829,6,-6.196,1,0.0511,0.0181,0.000462,0.153,0.495,140.041,4,trance
32,0OMLOChNVAGT6UlzgzLxnb,Dodge & Fuski;Nick Thayer;Barely Alive,Playboy,Playboy - Barely Alive Remix,40,192600,False,0.575,0.955,0,-4.249,1,0.197,0.000179,0.0334,0.4,0.548,100.04,4,dub
33,7rVJVRNCAJkoQ2ta6E9fY2,NX Zero,Em Comum,Hoje O Céu Abriu,46,230773,False,0.56,0.918,6,-3.38,1,0.0344,0.1,1.07e-06,0.115,0.595,101.919,4,brazil
34,1iQ1BpOGF1Umd3lpTV4OPO,Roses & Frey,With or Without You,With or Without You,55,166943,False,0.641,0.147,11,-14.812,1,0.0337,0.954,1.91e-06,0.111,0.287,111.913,4,acoustic
35,4y2so9vmKY8h26tCxCIeT3,LucasPianoRoom,"Anime Piano, Vol. 4","Saitama's Theme ~Sad Ver.~ (From ""One Punch Man"")",38,124525,False,0.364,0.072,11,-16.448,0,0.0426,0.969,0.927,0.109,0.106,74.153,4,anime
36,5umz6SUxoP2wswxA8BUi7W,Mariah Angeliq;Arcangel;Darell,Homecoming Latin Party,Perreito - Remix,0,213333,False,0.792,0.703,0,-3.057,1,0.256,0.283,0.000164,0.319,0.726,180.032,4,latin
37,1ugTSkllKG0YdiPaOEPa0z,Lambert,Balcony Hotel (From 'Miss'),Balcony Hotel - From 'Miss',51,168398,False,0.503,0.209,8,-22.495,0,0.0288,0.974,0.913,0.102,0.325,132.361,3,ambient
38,5KzyfqUnXjRm2cfiz1pcSS,Tan Taşçı,Yıldızlarda Kayar,Söyleme,39,288480,False,0.622,0.762,4,-5.899,0,0.0468,0.116,0.0,0.288,0.448,129.948,4,turkish
39,5on36dq2B35S2RRGvNQCRo,Akanksha Bhandari,Gumsum,Gumsum,48,175862,False,0.698,0.137,10,-14.391,1,0.0364,0.992,0.000775,0.12,0.309,115.979,4,indie
40,6EXi6ZqTITKGtVBKqbphjL,Moby,Play,Porcelain,30,241160,False,0.551,0.628,0,-7.874,0,0.0294,0.00133,0.188,0.282,0.336,95.03,4,electronic
41,3psECZoLnmidiY8nuVbkGV,Adryana E A Rapaziada,Adryana E A Rapaziada,Só Faltava Você,43,234920,False,0.754,0.439,6,-9.719,1,0.0359,0.597,0.0,0.0631,0.769,130.837,4,pagode
42,30eNMlF5FIm7mlnIgwroHw,Jaylon Ashaun,Strawberries and Wine (Acoustic),Strawberries and Wine - Acoustic,57,90124,False,0.516,0.26,1,-13.279,1,0.0694,0.706,0.0,0.293,0.627,96.389,4,chill
43,1f6xYh2HSx8ttCjl4Pckep,Fall Out Boy,MANIA,The Last Of The Real Ones,60,230400,False,0.579,0.872,8,-5.294,1,0.0443,0.00594,0.0,0.192,0.557,115.043,4,emo
44,0tyR7Bu9P086aWBFZ4QJoo,All Time Low;blackbear,"Wake Up, Sunshine",Monsters (feat. blackbear),71,174067,True,0.369,0.845,0,-3.449,0,0.0611,0.0493,0.0,0.416,0.782,78.532,4,punk-rock
45,2GXCmc3A6ahTNnBsrkrRuh,India Martinez;Melendi,SI ELLA SUPIERA,SI ELLA SUPIERA,69,233633,False,0.728,0.608,7,-6.384,1,0.0713,0.326,0.0,0.139,0.658,138.923,4,spanish
46,6MY1xABxoZATrEr4FeUhEM,Damien Rice,O,Delicate,56,312066,False,0.34,0.144,5,-14.502,1,0.0419,0.684,0.00112,0.101,0.147,81.179,4,singer-songwriter
